"","C245PW0","childid"
"777",NA,"0049013C"
"778",306.37,"0049014C"
"779",0,"0049015C"
"780",1243.84,"0049016C"
"781",222.29,"0049017C"
"782",862.62,"0049018C"
"783",1065.99,"0049019C"
"784",0,"0049020C"
"785",0,"0049021C"
"786",0,"0049023C"
"787",0,"0049024C"
"788",NA,"0050001C"
"789",NA,"0050002C"
"790",NA,"0050003C"
"791",NA,"0050004C"
"792",NA,"0050005C"
"793",NA,"0050006C"
"794",NA,"0050007C"
"795",NA,"0050008C"
"796",NA,"0050009C"
"797",NA,"0050010C"
"798",NA,"0050011C"
"799",NA,"0050012C"
"800",NA,"0050014C"
"801",NA,"0050015C"
"802",NA,"0050016C"
"803",NA,"0050017C"
"804",NA,"0050018C"
"805",NA,"0050019C"
"806",NA,"0050020C"
"807",NA,"0050021C"
"808",NA,"0050022C"
"809",NA,"0050023C"
"810",0,"0050024C"
"811",0,"0051001C"
"812",60.45,"0051002C"
"813",NA,"0051003C"
"814",NA,"0051004C"
"815",68.28,"0051005C"
"816",61.88,"0051006C"
"817",60.59,"0051007C"
"818",64.24,"0051008C"
"819",NA,"0051009C"
"820",68.28,"0051010C"
"821",61.88,"0051011C"
"822",0,"0051012C"
"823",68.28,"0051013C"
"824",NA,"0051014C"
"825",NA,"0051015C"
"826",64.24,"0051016C"
"827",0,"0051017C"
"828",61.88,"0051018C"
"829",58.41,"0051019C"
"830",61.88,"0051020C"
"831",NA,"0051021C"
"832",NA,"0051022C"
"833",NA,"0051023C"
"834",60.59,"0051024C"
"835",NA,"0051025C"
"836",81.45,"0051026C"
"837",NA,"0051027C"
"838",132.21,"0052001C"
"839",190.72,"0052002C"
"840",67.69,"0052003C"
"841",227.47,"0052004C"
"842",62.37,"0052005C"
"843",62.37,"0052006C"
"844",74.69,"0052007C"
"845",103.61,"0052008C"
"846",0,"0052009C"
"847",205.1,"0052010C"
"848",63.7,"0052011C"
"849",66.28,"0052012C"
"850",179.46,"0052013C"
"851",76.9,"0052014C"
"852",179.46,"0052015C"
"853",250.82,"0052016C"
"854",0,"0052018C"
"855",74.69,"0052019C"
"856",63.7,"0052020C"
"857",81.53,"0052021C"
"858",62.37,"0052022C"
"859",0,"0052023C"
"860",NA,"0052040C"
"861",124.8,"0053001C"
"862",189.12,"0053002C"
"863",184.59,"0053003C"
"864",248.72,"0053005C"
"865",188.51,"0053006C"
"866",184.59,"0053007C"
"867",200.34,"0053008C"
"868",195.71,"0053009C"
"869",184.59,"0053010C"
"870",188.51,"0053011C"
"871",248.72,"0053012C"
"872",188.49,"0053013C"
"873",196.17,"0053014C"
"874",207.99,"0053015C"
"875",188.51,"0053017C"
"876",188.51,"0053018C"
"877",184.59,"0053019C"
"878",195.71,"0053021C"
"879",595.45,"0053022C"
"880",195.71,"0053023C"
"881",195.71,"0053024C"
"882",NA,"0053040C"
"883",NA,"0053041C"
"884",128.22,"0055001C"
"885",0,"0055002C"
"886",1028,"0055003C"
"887",258.48,"0055004C"
"888",1120.8,"0055005C"
"889",0,"0055006C"
"890",303.11,"0055007C"
"891",263.97,"0055008C"
"892",397.21,"0055009C"
"893",280.53,"0055010C"
"894",357.43,"0055011C"
"895",0,"0055012C"
"896",309.55,"0055013C"
"897",281.44,"0055014C"
"898",408.42,"0055015C"
"899",280.53,"0055016C"
"900",258.48,"0055018C"
"901",0,"0055019C"
"902",309.55,"0055020C"
"903",886.13,"0055021C"
"904",258.48,"0055022C"
"905",998.54,"0055023C"
"906",303.11,"0055024C"
"907",NA,"0055040C"
"908",175.04,"0056002C"
"909",387.83,"0056003C"
"910",113.13,"0056004C"
"911",129.9,"0056005C"
"912",142.62,"0056007C"
"913",179.86,"0056008C"
"914",117.73,"0056009C"
"915",137.73,"0056010C"
"916",110.78,"0056011C"
"917",136.57,"0056013C"
"918",129.9,"0056014C"
"919",117.73,"0056015C"
"920",0,"0056016C"
